temporal,use,date,ID,COUNT,AREA,MEAN
day,prediction,27/12/2022,361,1,4900,38.394221
day,prediction,27/12/2022,1,292,262800,39.56514453
day,prediction,27/12/2022,2,871,783900,39.08379755
day,prediction,27/12/2022,3,1453,1307700,39.44352222
day,prediction,27/12/2022,4,2040,1836000,39.58140062
day,prediction,27/12/2022,5,2619,2357100,39.52307863
day,prediction,27/12/2022,6,3196,2876400,39.01456299
day,prediction,27/12/2022,7,3785,3406500,40.04612985
day,prediction,27/12/2022,8,4371,3933900,40.68593497
day,prediction,27/12/2022,9,4940,4446000,37.15473926
day,prediction,27/12/2022,10,5527,4974300,38.29636533
day,prediction,27/12/2022,11,6087,5478300,39.26617931
day,prediction,27/12/2022,12,6684,6015600,33.37983854
day,prediction,27/12/2022,13,7260,6534000,28.48827337
day,prediction,27/12/2022,14,7859,7073100,27.86258108
day,prediction,27/12/2022,15,8443,7598700,26.41516789
day,prediction,27/12/2022,16,9007,8106300,25.88126238
day,prediction,27/12/2022,17,9625,8662500,39.06789422
day,prediction,27/12/2022,18,10182,9163800,25.9564445
day,prediction,27/12/2022,19,10767,9690300,25.9103509
day,prediction,27/12/2022,20,11326,10193400,26.48364771
day,prediction,27/12/2022,21,8098,7288200,29.0079565
day,prediction,27/12/2022,22,4295,3865500,34.87939835
day,prediction,27/12/2022,23,1915,1723500,37.39706942
day,prediction,27/12/2022,24,207,186300,37.85247648
day,prediction,27/12/2022,31,290,261000,38.70213327
day,prediction,27/12/2022,32,289,260100,38.89615667
day,prediction,27/12/2022,33,290,261000,39.14246595
day,prediction,27/12/2022,34,290,261000,39.22637203
day,prediction,27/12/2022,35,291,261900,39.53393904
day,prediction,27/12/2022,36,287,258300,39.37515435
day,prediction,27/12/2022,37,291,261900,38.99044672
day,prediction,27/12/2022,38,294,264600,39.49357194
day,prediction,27/12/2022,39,290,261000,39.52617586
day,prediction,27/12/2022,40,292,262800,40.25130552
day,prediction,27/12/2022,41,288,259200,40.08401237
day,prediction,27/12/2022,42,872,784800,39.21605493
day,prediction,27/12/2022,43,876,788400,39.31641337
day,prediction,27/12/2022,44,875,787500,39.37648987
day,prediction,27/12/2022,45,873,785700,39.87828063
day,prediction,27/12/2022,46,872,784800,40.24811869
day,prediction,27/12/2022,47,874,786600,39.63331211
day,prediction,27/12/2022,48,875,787500,39.36575248
day,prediction,27/12/2022,49,874,786600,40.53604489
day,prediction,27/12/2022,50,873,785700,39.43571398
day,prediction,27/12/2022,51,871,783900,39.22145172
day,prediction,27/12/2022,52,872,784800,39.72696104
day,prediction,27/12/2022,53,1454,1308600,37.48347492
day,prediction,27/12/2022,54,1452,1306800,38.7630285
day,prediction,27/12/2022,55,1454,1308600,39.28200923
day,prediction,27/12/2022,56,1453,1307700,38.7360451
day,prediction,27/12/2022,57,1454,1308600,38.86774759
day,prediction,27/12/2022,58,1455,1309500,38.79413866
day,prediction,27/12/2022,59,1452,1306800,39.09800034
day,prediction,27/12/2022,60,1458,1312200,39.84945439
day,prediction,27/12/2022,61,1453,1307700,39.86930015
day,prediction,27/12/2022,62,1447,1302300,39.02492244
day,prediction,27/12/2022,63,1457,1311300,39.04388267
