temporal,use,date,ID,COUNT,AREA,MEAN
night,base,3/12/2022,361,1,4900,21.332981
night,prediction,3/12/2022,1,56,274400,21.0442
night,prediction,3/12/2022,2,162,793800,20.904
night,prediction,3/12/2022,3,265,1298500,21.0293
night,prediction,3/12/2022,4,375,1837500,20.9247
night,prediction,3/12/2022,5,481,2356900,21.6047
night,prediction,3/12/2022,6,586,2871400,21.2385
night,prediction,3/12/2022,7,696,3410400,21.9844
night,prediction,3/12/2022,8,805,3944500,23.3742
night,prediction,3/12/2022,9,901,4414900,23.322
night,prediction,3/12/2022,10,1018,4988200,22.2861
night,prediction,3/12/2022,11,1121,5492900,21.81
night,prediction,3/12/2022,12,1225,6002500,21.994
night,prediction,3/12/2022,13,1334,6536600,22.0676
night,prediction,3/12/2022,14,1447,7090300,21.7637
night,prediction,3/12/2022,15,1548,7585200,21.3971
night,prediction,3/12/2022,16,1650,8085000,21.04
night,prediction,3/12/2022,17,1775,8697500,19.4377
night,prediction,3/12/2022,18,1870,9163000,20.8008
night,prediction,3/12/2022,19,1972,9662800,20.7824
night,prediction,3/12/2022,20,2061,10098900,20.8169
night,prediction,3/12/2022,21,1287,6306300,20.8494
night,prediction,3/12/2022,22,687,3366300,21.3062
night,prediction,3/12/2022,23,272,1332800,21.393
night,prediction,3/12/2022,24,11,53900,21.0571
night,prediction,3/12/2022,31,53,259700,20.7494
night,prediction,3/12/2022,32,51,249900,21.162
night,prediction,3/12/2022,33,56,274400,21.8941
night,prediction,3/12/2022,34,51,249900,21.4194
night,prediction,3/12/2022,35,53,259700,21.3868
night,prediction,3/12/2022,36,56,274400,20.6969
night,prediction,3/12/2022,37,53,259700,21.1843
night,prediction,3/12/2022,38,51,249900,20.7045
night,prediction,3/12/2022,39,53,259700,20.8853
night,prediction,3/12/2022,40,51,249900,21.7924
night,prediction,3/12/2022,41,56,274400,21.4739
night,prediction,3/12/2022,42,162,793800,21.2225
night,prediction,3/12/2022,43,160,784000,20.97
night,prediction,3/12/2022,44,160,784000,21.2511
night,prediction,3/12/2022,45,162,793800,21.0582
night,prediction,3/12/2022,46,160,784000,20.7229
night,prediction,3/12/2022,47,162,793800,21.0607
night,prediction,3/12/2022,48,162,793800,20.867
night,prediction,3/12/2022,49,162,793800,21.6626
night,prediction,3/12/2022,50,162,793800,21.4449
night,prediction,3/12/2022,51,162,793800,21.5302
night,prediction,3/12/2022,52,160,784000,20.6077
night,prediction,3/12/2022,53,264,1293600,20.6564
night,prediction,3/12/2022,54,272,1332800,21.4493
night,prediction,3/12/2022,55,264,1293600,21.2574
night,prediction,3/12/2022,56,265,1298500,21.8371
night,prediction,3/12/2022,57,264,1293600,21.3711
night,prediction,3/12/2022,58,272,1332800,21.634
night,prediction,3/12/2022,59,272,1332800,20.6832
night,prediction,3/12/2022,60,265,1298500,21.1157
night,prediction,3/12/2022,61,264,1293600,20.4939
night,prediction,3/12/2022,62,272,1332800,20.941
night,prediction,3/12/2022,63,265,1298500,21.3089
night,prediction,3/12/2022,64,375,1837500,21.1463
night,prediction,3/12/2022,65,371,1817900,21.1385
night,prediction,3/12/2022,66,371,1817900,21.5445
night,prediction,3/12/2022,67,376,1842400,21.6191
night,prediction,3/12/2022,68,375,1837500,21.2753
night,prediction,3/12/2022,69,372,1822800,21.0766
night,prediction,3/12/2022,70,375,1837500,21.1544
night,prediction,3/12/2022,71,376,1842400,21.1538
night,prediction,3/12/2022,72,375,1837500,21.4695
night,prediction,3/12/2022,73,372,1822800,21.3363
night,prediction,3/12/2022,74,375,1837500,20.4528
night,prediction,3/12/2022,75,479,2347100,20.7437
night,prediction,3/12/2022,76,473,2317700,21.0281
night,prediction,3/12/2022,77,479,2347100,20.9512
night,prediction,3/12/2022,78,474,2322600,21.1037
night,prediction,3/12/2022,79,478,2342200,21.3687
night,prediction,3/12/2022,80,479,2347100,21.5606
night,prediction,3/12/2022,81,473,2317700,21.1715
night,prediction,3/12/2022,82,479,2347100,21.1506
night,prediction,3/12/2022,83,479,2347100,19.5948
night,prediction,3/12/2022,84,473,2317700,21.1155
night,prediction,3/12/2022,85,480,2352000,20.6772
night,prediction,3/12/2022,86,591,2895900,20.727
night,prediction,3/12/2022,87,597,2925300,20.9341
night,prediction,3/12/2022,88,597,2925300,20.871
night,prediction,3/12/2022,89,586,2871400,21.3965
night,prediction,3/12/2022,90,591,2895900,21.2461
night,prediction,3/12/2022,91,592,2900800,21.7717
night,prediction,3/12/2022,92,597,2925300,20.8002
night,prediction,3/12/2022,93,586,2871400,20.9147
night,prediction,3/12/2022,94,591,2895900,19.5404
night,prediction,3/12/2022,95,586,2871400,20.2728
night,prediction,3/12/2022,96,597,2925300,19.2882
night,prediction,3/12/2022,97,693,3395700,20.6207
night,prediction,3/12/2022,98,694,3400600,21.1734
night,prediction,3/12/2022,99,696,3410400,21.4488
night,prediction,3/12/2022,100,694,3400600,21.1733
night,prediction,3/12/2022,101,694,3400600,20.929
night,prediction,3/12/2022,102,693,3395700,21.3529
night,prediction,3/12/2022,103,694,3400600,20.8942
night,prediction,3/12/2022,104,696,3410400,20.5951
night,prediction,3/12/2022,105,692,3390800,19.7113
night,prediction,3/12/2022,106,696,3410400,20.6998
night,prediction,3/12/2022,107,694,3400600,19.8255
night,prediction,3/12/2022,108,801,3924900,20.8225
night,prediction,3/12/2022,109,804,3939600,21.191
night,prediction,3/12/2022,110,793,3885700,21.1989
night,prediction,3/12/2022,111,802,3929800,20.7306
night,prediction,3/12/2022,112,800,3920000,21.8703
night,prediction,3/12/2022,113,793,3885700,20.4955
night,prediction,3/12/2022,114,793,3885700,20.1418
night,prediction,3/12/2022,115,804,3939600,20.5247
night,prediction,3/12/2022,116,803,3934700,19.255
night,prediction,3/12/2022,117,793,3885700,20.2449
night,prediction,3/12/2022,118,805,3944500,20.7785
night,prediction,3/12/2022,119,905,4434500,20.5311
night,prediction,3/12/2022,120,916,4488400,21.4678
night,prediction,3/12/2022,121,900,4410000,21.1321
night,prediction,3/12/2022,122,905,4434500,20.7655
