temporal,use,date,ID,COUNT,AREA,MEAN
night,base,25/12/2022,361,1,4900,20.23
night,base,25/12/2022,1,56,274400,19.76786259
night,base,25/12/2022,2,162,793800,19.55914043
night,base,25/12/2022,3,265,1298500,19.61060941
night,base,25/12/2022,4,375,1837500,19.52152726
night,base,25/12/2022,5,481,2356900,20.36921575
night,base,25/12/2022,6,586,2871400,20.06314582
night,base,25/12/2022,7,696,3410400,21.06043721
night,base,25/12/2022,8,805,3944500,22.62108632
night,base,25/12/2022,9,901,4414900,22.58188178
night,base,25/12/2022,10,1018,4988200,21.40798318
night,base,25/12/2022,11,1121,5492900,21.05806893
night,base,25/12/2022,12,1225,6002500,21.91367997
night,base,25/12/2022,13,1334,6536600,22.2524197
night,base,25/12/2022,14,1447,7090300,22.0108903
night,base,25/12/2022,15,1548,7585200,21.68206022
night,base,25/12/2022,16,1650,8085000,21.29970304
night,base,25/12/2022,17,1775,8697500,18.47506533
night,base,25/12/2022,18,1870,9163000,20.99125724
night,base,25/12/2022,19,1972,9662800,20.93888018
night,base,25/12/2022,20,2061,10098900,20.90977331
night,base,25/12/2022,21,1287,6306300,20.6993454
night,base,25/12/2022,22,687,3366300,20.70141833
night,base,25/12/2022,23,272,1332800,20.7076526
night,base,25/12/2022,24,11,53900,20.40636652
night,base,25/12/2022,31,53,259700,19.40963054
night,base,25/12/2022,32,51,249900,19.86608707
night,base,25/12/2022,33,56,274400,20.683221
night,base,25/12/2022,34,51,249900,20.19040097
night,base,25/12/2022,35,53,259700,20.19264999
night,base,25/12/2022,36,56,274400,19.4260788
night,base,25/12/2022,37,53,259700,19.92359032
night,base,25/12/2022,38,51,249900,19.62373023
night,base,25/12/2022,39,53,259700,19.84736489
night,base,25/12/2022,40,51,249900,20.67235849
night,base,25/12/2022,41,56,274400,20.43286242
night,base,25/12/2022,42,162,793800,19.92716754
night,base,25/12/2022,43,160,784000,19.6485054
night,base,25/12/2022,44,160,784000,20.06688175
night,base,25/12/2022,45,162,793800,19.8534642
night,base,25/12/2022,46,160,784000,19.5302557
night,base,25/12/2022,47,162,793800,20.21766079
night,base,25/12/2022,48,162,793800,19.57037598
night,base,25/12/2022,49,162,793800,20.80926514
night,base,25/12/2022,50,162,793800,20.19618093
night,base,25/12/2022,51,162,793800,20.31976073
night,base,25/12/2022,52,160,784000,19.52875652
night,base,25/12/2022,53,264,1293600,19.36371786
night,base,25/12/2022,54,272,1332800,20.18846276
night,base,25/12/2022,55,264,1293600,19.95318858
night,base,25/12/2022,56,265,1298500,20.6108357
night,base,25/12/2022,57,264,1293600,20.15288567
night,base,25/12/2022,58,272,1332800,20.48309416
night,base,25/12/2022,59,272,1332800,19.62324176
night,base,25/12/2022,60,265,1298500,20.2270631
night,base,25/12/2022,61,264,1293600,19.61515785
night,base,25/12/2022,62,272,1332800,19.86272688
night,base,25/12/2022,63,265,1298500,20.07128929
night,base,25/12/2022,64,375,1837500,19.88520516
night,base,25/12/2022,65,371,1817900,19.8992252
night,base,25/12/2022,66,371,1817900,20.31377968
night,base,25/12/2022,67,376,1842400,20.29995184
night,base,25/12/2022,68,375,1837500,19.95726001
night,base,25/12/2022,69,372,1822800,19.91462929
night,base,25/12/2022,70,375,1837500,19.88467293
night,base,25/12/2022,71,376,1842400,20.13702742
night,base,25/12/2022,72,375,1837500,20.25005868
night,base,25/12/2022,73,372,1822800,20.11430703
night,base,25/12/2022,74,375,1837500,19.4321923
night,base,25/12/2022,75,479,2347100,19.39522608
night,base,25/12/2022,76,473,2317700,19.75858925
night,base,25/12/2022,77,479,2347100,19.509756
night,base,25/12/2022,78,474,2322600,19.79654562
night,base,25/12/2022,79,478,2342200,20.01590681
night,base,25/12/2022,80,479,2347100,20.34528754
night,base,25/12/2022,81,473,2317700,19.96632808
night,base,25/12/2022,82,479,2347100,19.97297054
night,base,25/12/2022,83,479,2347100,18.56395166
night,base,25/12/2022,84,473,2317700,19.95956247
night,base,25/12/2022,85,480,2352000,19.4363397
night,base,25/12/2022,86,591,2895900,19.37149482
night,base,25/12/2022,87,597,2925300,19.71060912
night,base,25/12/2022,88,597,2925300,19.61570149
night,base,25/12/2022,89,586,2871400,20.0763881
night,base,25/12/2022,90,591,2895900,20.11961646
night,base,25/12/2022,91,592,2900800,20.44949851
night,base,25/12/2022,92,597,2925300,19.61208309
night,base,25/12/2022,93,586,2871400,19.76283884
night,base,25/12/2022,94,591,2895900,18.50459142
night,base,25/12/2022,95,586,2871400,19.05625114
night,base,25/12/2022,96,597,2925300,18.42551712
night,base,25/12/2022,97,693,3395700,19.24758277
night,base,25/12/2022,98,694,3400600,20.14167711
night,base,25/12/2022,99,696,3410400,20.29897133
night,base,25/12/2022,100,694,3400600,20.15473256
night,base,25/12/2022,101,694,3400600,19.73818987
night,base,25/12/2022,102,693,3395700,20.13736534
night,base,25/12/2022,103,694,3400600,19.80971771
night,base,25/12/2022,104,696,3410400,19.641989
night,base,25/12/2022,105,692,3390800,18.79257789
