date,direction,MAE,RMSE,Pearson_r
2022-12-03,15,0.3079071617391313,0.38018353836097535,0.8670683618666376
2022-12-03,45,0.23537602800000043,0.2799785032847851,0.8991395816644091
2022-12-03,75,0.2089059686666656,0.2668326857348928,0.939634904158068
2022-12-03,105,0.18063369517241254,0.24403997860259682,0.9074549640149118
2022-12-03,135,0.1403928756666654,0.18413841950921575,0.9162000535120163
2022-12-03,165,0.2716345633333323,0.3967073665686984,0.9903949515346134
2022-12-03,195,0.28569503826086906,0.3835383426043092,0.9930913310853557
2022-12-03,225,0.3002351936666656,0.33829562350832737,0.9420626652464696
2022-12-03,255,0.3131393040000004,0.3897341832181899,0.9166389065625355
2022-12-03,285,0.2621227706896554,0.3267674464798236,0.9748828577461468
2022-12-03,315,0.18246316433333357,0.23753073898144847,0.9361503827981416
2022-12-03,345,0.2237944179166679,0.27838147292894694,0.930672603329136
2022-12-27,15,0.23582046565217496,0.2767007073286011,0.9245284615611342
2022-12-27,45,0.14973169399999975,0.2011484676387184,0.9247140707805133
2022-12-27,75,0.2017168653333325,0.2588468307830117,0.9360527730530762
2022-12-27,105,0.18669832482758594,0.22497162580714689,0.9271376267120546
2022-12-27,135,0.13618268166666686,0.1850445732095205,0.9092783046229558
2022-12-27,165,0.2943256429166666,0.39488565064034076,0.9868005230763963
2022-12-27,195,0.3246977473913039,0.39773549470272085,0.9907078078000692
2022-12-27,225,0.26306148399999996,0.32012676684598174,0.9646611908161596
2022-12-27,255,0.2547910543333337,0.32079339395809875,0.9490970298762792
2022-12-27,285,0.17667020655172355,0.22537121333110863,0.9785962797077878
2022-12-27,315,0.1623388576666675,0.19661167380637432,0.9283636250554084
2022-12-27,345,0.14623261375000082,0.18865742620400952,0.9662171496947225
2023-01-27,15,0.25025685956521726,0.3302355796342813,0.8918764858028698
2023-01-27,45,0.2021080616666661,0.2523238776695588,0.8538770010070105
2023-01-27,75,0.26406951699999925,0.3230150919908454,0.8984815536386077
2023-01-27,105,0.14900392448275776,0.17899178785796396,0.9524667260632547
2023-01-27,135,0.12728809866666602,0.16372066620388137,0.9321567439746379
2023-01-27,165,0.44083670249999996,0.7322208514338877,0.9730169946613172
2023-01-27,195,0.38650889652174064,0.6475743107711918,0.9856694552682018
2023-01-27,225,0.18067548399999975,0.2294447818841485,0.9861847045626877
2023-01-27,255,0.20749514833333352,0.28918906787129234,0.9626793072447628
2023-01-27,285,0.17406980862068905,0.2500084031076433,0.9720118125729479
2023-01-27,315,0.1752372353333327,0.2318576603166446,0.8988620177317488
2023-01-27,345,0.1830527949999999,0.23334010872142041,0.945903062720788
