Direction,MAE,RMSE,r
15,0.128,0.164,0.947
45,0.123,0.156,0.917
75,0.115,0.142,0.95
105,0.097,0.121,0.892
135,0.09,0.115,0.915
165,0.213,0.361,0.788
195,0.203,0.399,0.796
225,0.092,0.12,0.974
255,0.117,0.158,0.941
285,0.125,0.174,0.93
315,0.125,0.159,0.897
345,0.124,0.154,0.922
