p_id,source,date,lst_pred
1004,cws,2021-01-08,36.712799072265625
1010,cws,2021-01-08,33.28219985961914
1011,cws,2021-01-08,32.56740188598633
1016,cws,2021-01-08,31.453800201416016
1017,cws,2021-01-08,34.06779861450195
1026,cws,2021-01-08,30.909799575805664
1030,cws,2021-01-08,32.287498474121094
1031,cws,2021-01-08,33.51179885864258
1036,cws,2021-01-08,31.8523006439209
1039,cws,2021-01-08,33.239898681640625
1056,cws,2021-01-08,31.88159942626953
1067,cws,2021-01-08,32.98699951171875
1069,cws,2021-01-08,31.603700637817383
1077,cws,2021-01-08,31.46820068359375
1078,cws,2021-01-08,32.25299835205078
1085,cws,2021-01-08,31.21109962463379
1088,cws,2021-01-08,32.29719924926758
1093,cws,2021-01-08,34.1505012512207
1094,cws,2021-01-08,33.82109832763672
1099,cws,2021-01-08,34.27899932861328
1101,cws,2021-01-08,32.88669967651367
1104,cws,2021-01-08,31.874099731445312
1113,cws,2021-01-08,36.47050094604492
1114,cws,2021-01-08,37.10240173339844
1115,cws,2021-01-08,33.60369873046875
1116,cws,2021-01-08,27.805599212646484
1121,cws,2021-01-08,33.851898193359375
1122,cws,2021-01-08,33.804901123046875
1126,cws,2021-01-08,32.040401458740234
1130,cws,2021-01-08,32.13010025024414
1142,cws,2021-01-08,34.130699157714844
1144,cws,2021-01-08,36.22209930419922
1149,cws,2021-01-08,31.591899871826172
1154,cws,2021-01-08,32.704200744628906
1159,cws,2021-01-08,33.4656982421875
1160,cws,2021-01-08,32.90800094604492
1166,cws,2021-01-08,31.970500946044922
1168,cws,2021-01-08,32.866600036621094
1169,cws,2021-01-08,33.06800079345703
1180,cws,2021-01-08,37.7864990234375
1182,cws,2021-01-08,30.071300506591797
1185,cws,2021-01-08,34.8661994934082
1186,cws,2021-01-08,33.49810028076172
1188,cws,2021-01-08,32.099998474121094
1191,cws,2021-01-08,34.417598724365234
1192,cws,2021-01-08,30.06450080871582
1197,cws,2021-01-08,35.32870101928711
1203,cws,2021-01-08,35.815101623535156
1204,cws,2021-01-08,33.76850128173828
1209,cws,2021-01-08,32.70309829711914
1211,cws,2021-01-08,34.62099838256836
1215,cws,2021-01-08,34.865299224853516
1218,cws,2021-01-08,30.540800094604492
1219,cws,2021-01-08,31.072099685668945
1222,cws,2021-01-08,33.5192985534668
1227,cws,2021-01-08,33.87419891357422
1228,cws,2021-01-08,33.943599700927734
1229,cws,2021-01-08,34.06019973754883
1230,cws,2021-01-08,32.48830032348633
1235,cws,2021-01-08,37.74509811401367
1238,cws,2021-01-08,33.28580093383789
1248,cws,2021-01-08,34.89889907836914
1258,cws,2021-01-08,35.36259841918945
1259,cws,2021-01-08,-9999.0
1263,cws,2021-01-08,37.07550048828125
1269,cws,2021-01-08,35.28340148925781
1279,cws,2021-01-08,32.1864013671875
1281,cws,2021-01-08,31.609600067138672
1292,cws,2021-01-08,36.92570114135742
1297,cws,2021-01-08,33.56420135498047
1302,cws,2021-01-08,31.8971004486084
1324,cws,2021-01-08,33.85219955444336
1338,cws,2021-01-08,32.99150085449219
1345,cws,2021-01-08,31.34510040283203
1348,cws,2021-01-08,36.11600112915039
1349,cws,2021-01-08,34.151100158691406
1350,cws,2021-01-08,32.59619903564453
1354,cws,2021-01-08,33.782798767089844
1355,cws,2021-01-08,33.275299072265625
1360,cws,2021-01-08,30.041400909423828
1366,cws,2021-01-08,33.869300842285156
1377,cws,2021-01-08,34.110599517822266
1381,cws,2021-01-08,36.382598876953125
175,cws,2021-01-08,29.754199981689453
176,cws,2021-01-08,31.568700790405273
177,cws,2021-01-08,36.2963981628418
179,cws,2021-01-08,35.742698669433594
180,cws,2021-01-08,34.23419952392578
181,cws,2021-01-08,32.384700775146484
182,cws,2021-01-08,32.28269958496094
183,cws,2021-01-08,34.59379959106445
184,cws,2021-01-08,34.88529968261719
185,cws,2021-01-08,34.39070129394531
186,cws,2021-01-08,33.1781005859375
187,cws,2021-01-08,35.527400970458984
188,cws,2021-01-08,-9999.0
190,cws,2021-01-08,32.21950149536133
192,cws,2021-01-08,33.14400100708008
193,cws,2021-01-08,33.23249816894531
194,cws,2021-01-08,34.656898498535156
195,cws,2021-01-08,30.81559944152832
35,cws,2021-01-08,33.284000396728516
34,cws,2021-01-08,33.17390060424805
33,cws,2021-01-08,34.940101623535156
17,cws,2021-01-08,35.44990158081055
18,cws,2021-01-08,35.535400390625
16,cws,2021-01-08,35.68299865722656
15,cws,2021-01-08,33.76940155029297
14,cws,2021-01-08,33.4192008972168
13,cws,2021-01-08,34.72629928588867
114,cws,2021-01-08,34.36040115356445
115,cws,2021-01-08,33.744998931884766
20,cws,2021-01-08,34.68439865112305
21,cws,2021-01-08,35.2411003112793
2,cws,2021-01-08,34.478599548339844
25,cws,2021-01-08,34.98540115356445
117,cws,2021-01-08,33.87810134887695
5,cws,2021-01-08,33.61880111694336
7,cws,2021-01-08,31.635299682617188
9,cws,2021-01-08,30.758699417114258
11,cws,2021-01-08,33.6431999206543
12,cws,2021-01-08,35.104400634765625
