date,direction,MAE,RMSE,Pearson_r
2022-12-03,15,0.08597366391304384,0.111930726382254,0.972488864717884
2022-12-03,45,0.08971582933333314,0.11233832301659427,0.9556695095933281
2022-12-03,75,0.10503089433333332,0.13273658192766458,0.9688451879826779
2022-12-03,105,0.08472382172413825,0.11373197851032364,0.8977329408098049
2022-12-03,135,0.07197286200000015,0.08693868709114722,0.951197310808506
2022-12-03,165,0.13135629125000067,0.1972652071390148,0.9393283691388108
2022-12-03,195,0.11693266913043442,0.18561995907560752,0.9796347523378901
2022-12-03,225,0.05365748800000011,0.07373215438655094,0.9913188114642013
2022-12-03,255,0.05910170999999913,0.0794248597413947,0.987593138580244
2022-12-03,285,0.08225826241379325,0.10650907460776676,0.9782076072032946
2022-12-03,315,0.07835195433333333,0.10033755721235017,0.9598018167170609
2022-12-03,345,0.12191610666666756,0.14862526515275662,0.9222067941321967
2022-12-27,15,0.2020534926086958,0.22951134629105296,0.8826839518365119
2022-12-27,45,0.1646232216666662,0.19426843610331787,0.8717248114599824
2022-12-27,75,0.13678488766666655,0.16291769053612815,0.9366291998823238
2022-12-27,105,0.16093553965517243,0.18021244787318874,0.7596128347506622
2022-12-27,135,0.10854865766666641,0.13404706560426563,0.8774203660915736
2022-12-27,165,0.3784495829166669,0.633227667635919,0.4312237505602549
2022-12-27,195,0.5224317330434779,1.052105481673767,-0.5687757815953197
2022-12-27,225,0.10352757866666605,0.12788992422340253,0.9702355613440858
2022-12-27,255,0.1847259173333331,0.23014174751191568,0.8708572463891656
2022-12-27,285,0.20634895034482784,0.25518633818765707,0.8616612227018661
2022-12-27,315,0.17002577333333335,0.2127332044295259,0.8394929728020585
2022-12-27,345,0.14855013916666673,0.17395375164691584,0.8939289866051268
2023-01-07,15,0.13675085260869602,0.15367473233518975,0.9570962373997743
2023-01-07,45,0.11102211599999977,0.14366178183175268,0.9425326839631121
2023-01-07,75,0.12723628899999936,0.1521234295776576,0.958772748511293
2023-01-07,105,0.0935832337931034,0.12710111557212037,0.9219723031684295
2023-01-07,135,0.08952450233333345,0.11200721421056713,0.9569157403561898
2023-01-07,165,0.17241193958333323,0.2954376484531947,0.8733058477239388
2023-01-07,195,0.1293595539130437,0.18012048670624453,0.9846421688919826
2023-01-07,225,0.10766543733333336,0.13626401761155624,0.9684464329726895
2023-01-07,255,0.1572931316666664,0.19704993923022385,0.9124684467778301
2023-01-07,285,0.10638362482758654,0.12823305416253508,0.9608591928597575
2023-01-07,315,0.1058323780000002,0.13612578643487308,0.9257990920877186
2023-01-07,345,0.11905553916666745,0.15220362816932165,0.9233306540766606
2023-01-27,15,0.17217548913043493,0.2038186078521768,0.9689964964752418
2023-01-27,45,0.12659955600000014,0.16139067709044175,0.9316674483262892
2023-01-27,75,0.13473114933333374,0.20965634295150393,0.9053816579256738
2023-01-27,105,0.07336922517241387,0.09501518549104793,0.9275513868254872
2023-01-27,135,0.06454835900000001,0.08658261850798706,0.9485394738944499
2023-01-27,165,0.16281347916666666,0.23716771756178961,0.9096247547235456
2023-01-27,195,0.16645741173913062,0.22774800604348452,0.9633015099336222
2023-01-27,225,0.09025830633333302,0.11914905660321484,0.9743568485759687
2023-01-27,255,0.10845732533333331,0.18557073018770978,0.9234143435168729
2023-01-27,285,0.13211053965517203,0.1814909738694634,0.9457867377096966
2023-01-27,315,0.15443388566666674,0.17906098350830846,0.8815640516117867
2023-01-27,345,0.17882648333333387,0.2065714354854824,0.9231761946264287
