temporal,use,p_id,source,date,Time_AEDT,Time_UTC,lst_pred,ta
day,reference,200,prws,20/01/2022,2022-01-20 11:00:00,20/01/2022 0:00,38.6013659287,23.6
day,reference,600,prws,20/01/2022,2022-01-20 11:00:00,20/01/2022 0:00,37.0676526837,22.5
day,reference,400,prws,20/01/2022,2022-01-20 11:00:00,20/01/2022 0:00,38.2905695062,23.9
day,reference,500,prws,20/01/2022,2022-01-20 11:00:00,20/01/2022 0:00,35.008756112,22.5
day,reference,300,prws,20/01/2022,2022-01-20 11:00:00,20/01/2022 0:00,39.0731895686,25.1
night,reference,200,prws,12/12/2021,2021-12-13 00:00:00,12/12/2021 13:00,17.06999969482422,17.5
night,reference,600,prws,12/12/2021,2021-12-13 00:00:00,12/12/2021 13:00,18.56999969482422,17.1
night,reference,400,prws,12/12/2021,2021-12-13 00:00:00,12/12/2021 13:00,17.350000381469727,16.4
night,reference,500,prws,12/12/2021,2021-12-13 00:00:00,12/12/2021 13:00,19.489999771118164,17.2
night,reference,300,prws,12/12/2021,2021-12-13 00:00:00,12/12/2021 13:00,18.90999984741211,16.8
