Prediction_Image,Reference_Image,SSIM
n_STARFM_20211212_ext.tif,n_REFERENCE_fine_20211212_ext.tif,0.4637283830947834
n_STARFM_20230209_ext.tif,n_REFERENCE_fine_20230209_ext.tif,0.4198096286929734
n_FSDAF_20211212_ext.tif,n_REFERENCE_fine_20211212_ext.tif,0.4898873255123711
n_FSDAF_20230209_ext.tif,n_REFERENCE_fine_20230209_ext.tif,0.42948973225667975
