Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.009416764,0.022141054,-0.205334266,0.141468256
FSDAF,-0.007763589,0.021182605,-0.218925568,0.123634398
F0,-0.017016754,0.027497281,-0.643409615,-0.148426794
CP,-0.024805692,0.02619752,-0.059903334,0.003396992
