Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.009416764,0.022141054,-0.205334266,0.141468256
FSDAF,-0.007763589,0.021182605,-0.218925568,0.123634398
F0,0.017016754,0.027497281,-0.179759206,0.148426794
CP,-0.035071054,0.040119324,-0.944094192,-0.642142834
ATF,-0.017016754,0.027497281,0.283103265,0.23126717
ASF,0.035071053,0.040119324,0.331363989,0.220137005
