Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,0.006166232,0.017379797,-0.191821389,-0.042360601
FSDAF,0.004909119,0.021034136,-0.147635624,0.120894596
F0,-0.001663936,0.045713777,-0.160960058,-0.03449084
