Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.008905406,0.024086454,-0.259691154,0.084261221
FSDAF,-0.0071574,0.023203329,-0.272446981,0.075640035
F0,-0.0065237,0.021718708,-0.592841166,-0.093488724
CP,-0.013575732,0.018202617,-0.136690769,-0.004339965
