Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.018139732,0.029627112,-0.197529841,-0.115570199
FSDAF,-0.019758641,0.032038508,-0.209569471,-0.005724423
F0,-0.019786456,0.027411028,-0.096063446,0.030992121
CP,-0.039713932,0.047403878,-0.312932191,-0.012135374
