Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.018,0.03,-0.198,-0.116
FSDAF,-0.02,0.032,-0.21,-0.006
F0,0.019786456,0.027411028,-0.115932991,-0.030992121
CP,-0.007200646,0.037619588,-0.954845335,-0.567398849
ATF,-0.019786456,0.027411028,0.073749389,0.173736145
ASF,0.007200647,0.037619588,0.329439493,0.316107755
