Method,AD,RMSE,ND_EDGE,ND_LBP
STARFM,-0.008905406,0.024086454,-0.259691154,0.084261221
FSDAF,-0.0071574,0.023203329,-0.272446981,0.075640035
F0,0.0065237,0.021718708,-0.237884278,0.093488724
CP,-0.034334148,0.040766672,-0.953568454,-0.686916302
ATF,-0.0065237,0.021718708,0.287376581,0.18737167
ASF,0.034334147,0.040766672,0.332126923,0.176955458
